title:Psychopy_cris_classical_eo_2022-10-12T135440.301024, start timestamp:1665608080.231180, stop timestamp:1665608141.246191, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7815      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665608080.231180,1665608080.231742,48.000000,0.000000,4266.538574,4270.128418,4278.461426,4278.974121,4276.794922,4296.153809,4283.077148,4298.205078,4280.128418,4252.692383,4429.871582,4353.333496,4348.461426,4398.205078,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.238989,1665608080.239451,49.000000,0.000000,4265.769043,4263.333496,4270.384766,4275.128418,4266.153809,4296.666504,4282.563965,4304.871582,4281.153809,4258.717773,4428.205078,4348.589844,4347.179688,4394.102539,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.246797,1665608080.247359,50.000000,0.000000,4250.641113,4249.102539,4260.897461,4277.179688,4263.077148,4296.538574,4284.487305,4305.000000,4288.205078,4261.410156,4429.102539,4347.307617,4345.897461,4379.487305,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.254605,1665608080.255167,51.000000,0.000000,4246.922852,4246.538574,4256.282227,4277.307617,4264.358887,4293.717773,4282.307617,4305.512695,4293.717773,4261.794922,4427.692383,4346.025879,4344.743652,4377.692383,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.262414,1665608080.262976,52.000000,0.000000,4250.384766,4249.871582,4258.077148,4275.641113,4266.538574,4291.538574,4280.769043,4306.922852,4290.000000,4264.230957,4424.871582,4346.922852,4340.641113,4381.666504,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.270222,1665608080.270684,53.000000,0.000000,4248.589844,4249.358887,4259.743652,4274.871582,4274.358887,4293.333496,4280.128418,4292.179688,4279.230957,4262.051270,4428.589844,4349.358887,4337.948730,4376.153809,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.278031,1665608080.278493,54.000000,0.000000,4257.820313,4265.512695,4267.436035,4280.128418,4283.846191,4296.025879,4283.333496,4285.512695,4280.641113,4262.948730,4438.589844,4356.410156,4350.256348,4383.205078,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.285839,1665608080.286201,55.000000,0.000000,4275.641113,4283.077148,4281.153809,4293.717773,4285.512695,4298.717773,4293.717773,4304.615234,4297.051270,4275.128418,4447.820313,4368.333496,4366.922852,4401.025879,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.293648,1665608080.294010,56.000000,0.000000,4276.794922,4273.333496,4283.717773,4302.692383,4282.820313,4303.205078,4299.487305,4310.256348,4299.102539,4274.743652,4446.794922,4368.333496,4363.205078,4401.410156,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.301456,1665608080.301718,57.000000,0.000000,4266.794922,4269.230957,4277.436035,4301.666504,4279.615234,4304.230957,4296.538574,4295.512695,4283.461426,4257.436035,4438.205078,4358.333496,4354.871582,4394.230957,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.309264,1665608080.309627,58.000000,0.000000,4267.179688,4280.897461,4277.563965,4290.641113,4280.256348,4297.820313,4292.051270,4295.128418,4279.230957,4251.922852,4432.563965,4360.512695,4358.717773,4399.102539,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.317073,1665608080.317435,59.000000,0.000000,4265.000000,4275.512695,4275.641113,4280.769043,4277.820313,4290.641113,4284.102539,4299.615234,4280.641113,4255.000000,4428.077148,4361.922852,4354.743652,4396.153809,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.324881,1665608080.325343,60.000000,0.000000,4256.410156,4262.179688,4263.205078,4282.179688,4267.692383,4290.769043,4277.307617,4290.512695,4274.871582,4248.974121,4425.256348,4353.205078,4342.051270,4384.487305,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.332690,1665608080.333152,61.000000,0.000000,4259.230957,4263.717773,4258.846191,4286.538574,4268.205078,4292.179688,4282.948730,4288.077148,4271.666504,4243.974121,4427.820313,4356.538574,4337.563965,4387.692383,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.340498,1665608080.341060,62.000000,0.000000,4268.461426,4267.051270,4270.641113,4291.538574,4280.641113,4292.948730,4292.948730,4301.794922,4280.512695,4257.436035,4431.666504,4369.102539,4345.256348,4398.333496,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.348307,1665608080.348869,63.000000,0.000000,4265.897461,4263.717773,4279.358887,4299.615234,4283.846191,4293.974121,4299.358887,4311.282227,4289.743652,4265.384766,4432.436035,4373.205078,4350.000000,4397.820313,0.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.356115,1665608080.356777,64.000000,0.000000,4259.358887,4264.230957,4272.948730,4296.025879,4277.051270,4288.717773,4296.025879,4304.358887,4286.025879,4255.512695,4429.871582,4370.897461,4343.974121,4392.563965,2322.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.363923,1665608080.364585,65.000000,0.000000,4263.205078,4264.487305,4264.615234,4282.179688,4277.820313,4279.230957,4284.871582,4299.230957,4278.717773,4252.948730,4429.102539,4368.077148,4340.128418,4395.256348,2294.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.371732,1665608080.372494,66.000000,0.000000,4261.282227,4262.820313,4268.205078,4285.769043,4277.692383,4275.128418,4281.666504,4306.025879,4283.461426,4263.205078,4430.256348,4368.846191,4346.538574,4397.820313,2286.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.379540,1665608080.380402,67.000000,0.000000,4256.794922,4264.615234,4274.743652,4295.897461,4271.025879,4278.077148,4289.871582,4309.871582,4293.717773,4268.205078,4431.410156,4376.922852,4354.358887,4396.538574,2419.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.387349,1665608080.388211,68.000000,0.000000,4261.410156,4267.179688,4274.102539,4289.102539,4270.641113,4281.282227,4291.666504,4304.102539,4288.589844,4261.666504,4430.256348,4380.000000,4352.179688,4397.436035,2426.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.395157,1665608080.396019,69.000000,0.000000,4264.487305,4264.487305,4272.820313,4284.487305,4269.743652,4280.641113,4282.948730,4297.307617,4278.461426,4259.487305,4428.333496,4371.666504,4345.641113,4398.589844,1633.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,58.333332,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,3.000000,4.000000,1.000000,0.608148,-0.522585,-1.136128,0.364907,1.000000,0.023995,2.773791,2.485436,14.502795,0.068539,1.000000,0.396642,61.801456,-437.279541,762.132080,1.000000,0.445899,0.132985,0.110290,0.339011,1.000000,0.477500,4.278317,-7.784078,19.325060,1.000000,0.195982,0.195982,0.000000,1.000000
1665608080.402965,1665608080.403728,70.000000,0.000000,4262.051270,4261.410156,4271.666504,4288.333496,4265.641113,4278.846191,4283.846191,4294.230957,4276.794922,4258.846191,4427.307617,4366.025879,4342.563965,4395.256348,2274.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.410774,1665608080.411636,71.000000,0.000000,4258.589844,4261.538574,4265.512695,4286.410156,4269.743652,4284.230957,4287.820313,4294.358887,4277.436035,4254.230957,4429.358887,4368.205078,4343.205078,4388.333496,2336.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.418582,1665608080.419545,72.000000,0.000000,4254.230957,4253.974121,4260.769043,4281.922852,4274.871582,4293.461426,4284.230957,4298.333496,4280.769043,4250.897461,4429.615234,4372.307617,4339.487305,4382.820313,2409.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.426391,1665608080.427353,73.000000,0.000000,4247.436035,4244.743652,4260.641113,4281.153809,4267.948730,4287.436035,4280.128418,4290.512695,4274.871582,4246.922852,4419.230957,4366.282227,4332.051270,4379.102539,2383.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.434199,1665608080.435162,74.000000,0.000000,4244.871582,4250.769043,4258.974121,4275.128418,4262.179688,4276.538574,4275.384766,4276.153809,4263.717773,4247.692383,4414.871582,4357.051270,4337.948730,4378.077148,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.442008,1665608080.442971,75.000000,0.000000,4253.077148,4262.307617,4257.692383,4274.230957,4266.922852,4277.051270,4275.256348,4281.922852,4270.000000,4256.922852,4425.897461,4366.153809,4349.743652,4383.717773,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.449816,1665608080.450779,76.000000,0.000000,4264.230957,4264.615234,4263.205078,4289.487305,4272.307617,4281.153809,4280.641113,4297.820313,4281.666504,4262.179688,4431.282227,4379.230957,4347.563965,4391.153809,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.457624,1665608080.458588,77.000000,0.000000,4265.769043,4262.948730,4271.025879,4298.846191,4275.897461,4288.333496,4286.025879,4301.666504,4283.205078,4258.717773,4428.333496,4378.333496,4344.487305,4395.512695,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.465433,1665608080.466296,78.000000,0.000000,4260.512695,4262.692383,4273.717773,4291.025879,4272.948730,4293.974121,4291.666504,4305.641113,4287.307617,4262.948730,4433.974121,4378.846191,4350.512695,4396.794922,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.473241,1665608080.474105,79.000000,0.000000,4263.461426,4265.769043,4272.179688,4282.436035,4267.179688,4289.615234,4296.794922,4311.666504,4289.230957,4267.179688,4438.461426,4386.153809,4352.692383,4396.025879,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.481050,1665608080.481813,80.000000,0.000000,4259.615234,4263.974121,4264.487305,4278.846191,4264.871582,4285.128418,4290.000000,4303.461426,4278.077148,4253.333496,4428.974121,4379.102539,4341.666504,4386.538574,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.488858,1665608080.489622,81.000000,0.000000,4246.666504,4252.948730,4252.307617,4280.256348,4263.846191,4287.820313,4277.820313,4291.282227,4271.794922,4241.410156,4420.897461,4365.256348,4331.410156,4370.769043,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.496667,1665608080.497330,82.000000,0.000000,4251.153809,4253.589844,4253.846191,4288.333496,4270.256348,4292.563965,4282.307617,4297.948730,4278.333496,4249.487305,4421.410156,4369.230957,4336.794922,4371.153809,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.504475,1665608080.505239,83.000000,0.000000,4259.230957,4265.897461,4266.153809,4290.641113,4276.025879,4295.000000,4293.205078,4304.743652,4282.436035,4261.794922,4422.307617,4377.307617,4347.692383,4384.743652,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.512283,1665608080.513047,84.000000,0.000000,4247.820313,4262.948730,4261.794922,4280.128418,4269.487305,4288.077148,4283.205078,4290.000000,4277.692383,4261.922852,4417.820313,4367.692383,4343.717773,4383.717773,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.520092,1665608080.520956,85.000000,0.000000,4244.871582,4254.487305,4248.205078,4277.820313,4263.077148,4277.692383,4265.641113,4276.666504,4273.205078,4260.512695,4421.794922,4358.333496,4335.769043,4373.589844,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.527900,1665608080.528764,86.000000,0.000000,4260.256348,4260.256348,4254.615234,4286.410156,4266.025879,4283.205078,4274.871582,4290.769043,4278.077148,4264.358887,4438.717773,4372.307617,4345.897461,4382.820313,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.535709,1665608080.536672,87.000000,0.000000,4260.769043,4264.743652,4265.769043,4289.358887,4269.615234,4294.615234,4290.000000,4305.384766,4281.410156,4263.333496,4440.897461,4387.051270,4355.000000,4398.461426,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.543517,1665608080.544581,88.000000,0.000000,4255.384766,4263.077148,4263.589844,4291.153809,4273.717773,4297.307617,4282.820313,4298.461426,4279.487305,4255.769043,4427.692383,4381.794922,4346.794922,4400.000000,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.551325,1665608080.552389,89.000000,0.000000,4262.051270,4263.717773,4260.641113,4284.615234,4274.743652,4296.666504,4279.871582,4291.666504,4277.436035,4249.871582,4421.666504,4374.615234,4337.179688,4391.666504,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.559134,1665608080.560298,90.000000,0.000000,4264.102539,4264.358887,4263.333496,4277.307617,4267.436035,4289.102539,4291.538574,4297.307617,4275.641113,4253.846191,4429.358887,4378.846191,4340.769043,4387.948730,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.566942,1665608080.568106,91.000000,0.000000,4264.230957,4265.769043,4268.333496,4290.897461,4264.102539,4281.922852,4295.897461,4307.051270,4286.538574,4263.846191,4438.589844,4388.846191,4354.102539,4400.256348,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.574751,1665608080.575914,92.000000,0.000000,4268.077148,4266.025879,4267.051270,4296.666504,4264.871582,4281.025879,4291.794922,4310.641113,4293.717773,4267.563965,4436.666504,4389.871582,4356.025879,4408.974121,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.582559,1665608080.583623,93.000000,0.000000,4262.436035,4263.461426,4261.794922,4279.743652,4262.307617,4279.487305,4290.769043,4308.205078,4286.666504,4264.358887,4427.436035,4381.922852,4352.051270,4397.692383,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.590368,1665608080.591431,94.000000,0.000000,4254.358887,4260.512695,4261.153809,4281.410156,4263.974121,4286.922852,4290.769043,4308.333496,4286.922852,4265.641113,4427.436035,4382.692383,4357.820313,4388.974121,2695.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.598176,1665608080.599140,95.000000,0.000000,4258.589844,4258.717773,4261.025879,4298.589844,4268.205078,4296.410156,4286.410156,4303.846191,4290.256348,4264.358887,4434.615234,4384.230957,4359.102539,4391.410156,2743.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.605984,1665608080.606948,96.000000,0.000000,4265.000000,4259.102539,4260.641113,4289.230957,4264.743652,4286.410156,4279.102539,4293.974121,4280.128418,4258.461426,4431.153809,4378.974121,4350.000000,4390.256348,2573.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608080.613793,1665608080.614657,97.000000,0.000000,4260.384766,4262.563965,4260.128418,4273.205078,4262.948730,4275.641113,4276.153809,4291.410156,4273.717773,4260.512695,4426.666504,4375.769043,4349.102539,4385.897461,2302.000000,4.000000,92.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
